gene,pvals
DDX27,0.022098854
TMEM167B,0.023410143
FCGR1B,0.023410143
S100A8,0.023410143
PTRHD1,0.023410143
FGD5-AS1,0.023410143
BRIX1,0.023410143
TCEA1,0.023410143
WWP1,0.023410143
PVT1,0.023410143
SLC46A2,0.023410143
ZNF384,0.023410143
YLPM1,0.023410143
EIF3J,0.023410143
CES1,0.023410143
ZNF350,0.023410143
IFNAR1,0.023410143
ARF1,0.024786051
PWWP2B,0.024786051
TAOK3,0.024786051
LIMD2,0.024786051
ZNF791,0.024786051
ZDHHC18,0.026228994
ELOVL1,0.026228994
SLC66A3,0.026228994
CDYL,0.026228994
BAG6,0.026228994
WTAP,0.026228994
SH2B2,0.026228994
MYL12B,0.026228994
TYK2,0.026228994
TLR7,0.026228994
PRPF38A,0.027741438
BAZ2B,0.027741438
GRSF1,0.027741438
MAML3,0.027741438
TOMM6,0.027741438
VPS11,0.027741438
MRPS35,0.027741438
LGALS3,0.027741438
ELMSAN1,0.027741438
MGA,0.027741438
CCNDBP1,0.027741438
MT1X,0.027741438
CISD3,0.027741438
WIPF2,0.027741438
SIRPB1,0.027741438
ZMYND8,0.027741438
RAC2,0.027741438
CFP,0.027741438
KDM5C,0.027741438
CYB5R1,0.029325858
TIA1,0.029325858
COQ10B,0.029325858
WDR6,0.029325858
UIMC1,0.029325858
RNF144B,0.029325858
SLC31A1,0.029325858
PPFIA1,0.029325858
GAPDH,0.029325858
ANXA2,0.029325858
ATP6V0C,0.029325858
GDE1,0.029325858
POLR2E,0.029325858
STK11,0.029325858
IFI30,0.029325858
SUGP2,0.029325858
TFPT,0.029325858
UBXN11,0.03098481
PUM1,0.03098481
RNF187,0.03098481
ST3GAL5,0.03098481
NUP54,0.03098481
CYFIP2,0.03098481
TMEM242,0.03098481
IKBKB,0.03098481
TRAM1,0.03098481
HSDL2,0.03098481
THAP12,0.03098481
SART3,0.03098481
ANKRD13A,0.03098481
SORD,0.03098481
POLR2M,0.03098481
APOBR,0.03098481
SLC39A6,0.03098481
HSD17B10,0.03098481
ARHGAP15,0.032720899
ZMAT3,0.032720899
MYOF,0.032720899
SYNE3,0.032720899
TIMP2,0.032720899
PPP1R12C,0.032720899
ATP5PF,0.032720899
CLIC4,0.034536734
FGR,0.034536734
MOB4,0.034536734
UBP1,0.034536734
VCAN,0.034536734
PSMA2,0.034536734
THYN1,0.034536734
RNASE4,0.034536734
PDXDC1,0.034536734
SPN,0.034536734
DDX52,0.034536734
BLCAP,0.034536734
LGALS1,0.034536734
NFYC,0.036434997
NBPF10,0.036434997
GLRX2,0.036434997
RHOA,0.036434997
TNK2,0.036434997
TCOF1,0.036434997
SEPTIN7,0.036434997
ASAH1,0.036434997
PTDSS1,0.036434997
DOCK8,0.036434997
TXN,0.036434997
RRP12,0.036434997
LIN7C,0.036434997
PARP6,0.036434997
VAV1,0.036434997
KRI1,0.036434997
ATP6AP2,0.036434997
CEP104,0.038418418
NCF2,0.038418418
PDE7A,0.038418418
MPP7,0.038418418
DPF2,0.038418418
ZNF581,0.038418418
PEF1,0.040489722
ZNF281,0.040489722
CCDC115,0.040489722
KAT2B,0.040489722
MRPL3,0.040489722
TBC1D1,0.040489722
FCHO2,0.040489722
NIPSNAP3A,0.040489722
TLR4,0.040489722
IFITM3,0.040489722
COPZ1,0.040489722
EAPP,0.040489722
TTBK2,0.040489722
HERC1,0.040489722
PRPF8,0.040489722
CD68,0.040489722
HEXD,0.040489722
RBM42,0.040489722
ZNF264,0.040489722
PLCB1,0.040489722
TRMT2A,0.040489722
HSPB11,0.042651705
SELL,0.042651705
FOSL2,0.042651705
EPM2AIP1,0.042651705
TJP2,0.042651705
UBQLN1,0.042651705
YAF2,0.042651705
ANG,0.042651705
PDIA3,0.042651705
CNP,0.042651705
RAB5C,0.042651705
SAFB,0.042651705
ITGB2,0.042651705
FOXJ3,0.044907209
TMF1,0.044907209
OAT,0.044907209
FAM111A,0.044907209
CPNE8,0.044907209
P2RX4,0.044907209
RSL24D1,0.044907209
CALML4,0.044907209
TRAF7,0.044907209
COG4,0.044907209
PREX1,0.044907209
MIF,0.044907209
ABCD3,0.047259049
ANP32E,0.047259049
UXS1,0.047259049
PLSCR1,0.047259049
ZFR,0.047259049
SREK1IP1,0.047259049
TNPO1,0.047259049
TECPR1,0.047259049
GAPVD1,0.047259049
ZBTB43,0.047259049
RBM17,0.047259049
NIN,0.047259049
NPC2,0.047259049
GTF2A1,0.047259049
USP8,0.047259049
MINDY2,0.047259049
ICAM2,0.047259049
MAP2K7,0.047259049
CPNE1,0.047259049
GNG5,0.049710121
S100A11,0.049710121
CREG1,0.049710121
DISC1,0.049710121
DARS,0.049710121
LY75,0.049710121
MGAT1,0.049710121
TPMT,0.049710121
CHCHD3,0.049710121
ZCCHC7,0.049710121
TOR2A,0.049710121
PTEN,0.049710121
TRMT112,0.049710121
COMMD6,0.049710121
CUL4A,0.049710121
IRF8,0.049710121
MEX3C,0.049710121
SIRT2,0.049710121
TSC22D3,0.049710121
NOC2L,0.052263347
LSM3,0.052263347
TTC37,0.052263347
RPL7L1,0.052263347
LAT2,0.052263347
COPS6,0.052263347
TGS1,0.052263347
TSPAN14,0.052263347
ZNRD2,0.052263347
GAB2,0.052263347
RILPL2,0.052263347
FBXO34,0.052263347
AC008105.3,0.052263347
YPEL2,0.052263347
APMAP,0.052263347
ENTPD6,0.052263347
ZNF593,0.054921629
EBNA1BP2,0.054921629
SH3GLB1,0.054921629
TAGLN2,0.054921629
PARP1,0.054921629
CYTOR,0.054921629
ZNF148,0.054921629
CAST,0.054921629
BTN3A1,0.054921629
ABT1,0.054921629
AGPAT4,0.054921629
SKAP2,0.054921629
FUT4,0.054921629
PSME1,0.054921629
MARK3,0.054921629
B2M,0.054921629
SPG21,0.054921629
USP10,0.054921629
ACLY,0.054921629
ANKRD40,0.054921629
DUS3L,0.054921629
GRAMD1A,0.054921629
A1BG,0.054921629
TNFRSF1B,0.057687929
CD52,0.057687929
UROD,0.057687929
EVI5,0.057687929
DENND2D,0.057687929
IL6R,0.057687929
ATL2,0.057687929
CYSTM1,0.057687929
COG5,0.057687929
CNOT4,0.057687929
DCTN6,0.057687929
CCDC107,0.057687929
GNG10,0.057687929
STX3,0.057687929
MYL6,0.057687929
NGDN,0.057687929
SLTM,0.057687929
PKM,0.057687929
C16orf87,0.057687929
PSMB10,0.057687929
PGS1,0.057687929
RRP1B,0.057687929
DUSP18,0.057687929
VMA21,0.057687929
ARID1A,0.060565231
HDAC1,0.060565231
AKR1A1,0.060565231
CAPN2,0.060565231
UBXN2A,0.060565231
KYNU,0.060565231
WDR48,0.060565231
DVL3,0.060565231
PPBP,0.060565231
AC025171.2,0.060565231
ZFYVE16,0.060565231
VDAC3,0.060565231
DNAJA1,0.060565231
SEC24C,0.060565231
ATF7IP,0.060565231
MVP,0.060565231
TMEM106A,0.060565231
RMND5A,0.063556489
BTN3A2,0.063556489
HLA-B,0.063556489
MTRF1L,0.063556489
KRIT1,0.063556489
AC007032.1,0.063556489
SND1,0.063556489
STMP1,0.063556489
SAR1A,0.063556489
PTPRJ,0.063556489
MRPL16,0.063556489
RPS6KB2,0.063556489
RASSF3,0.063556489
ARPC3,0.063556489
RNASE2,0.063556489
ALKBH5,0.063556489
ARSG,0.063556489
MBD3,0.063556489
RPS11,0.063556489
CHMP2A,0.063556489
LGALS2,0.063556489
U62317.4,0.063556489
YBX1,0.066664709
SZT2,0.066664709
HDLBP,0.066664709
TNFAIP8,0.066664709
MRPS28,0.066664709
RSU1,0.066664709
BORCS7,0.066664709
RAB11FIP2,0.066664709
HSP90B1,0.066664709
NCOR2,0.066664709
ESD,0.066664709
ITM2B,0.066664709
FBXL3,0.066664709
LAMP1,0.066664709
SERF2,0.066664709
POLR3K,0.066664709
RILP,0.066664709
NKIRAS2,0.066664709
EPB41L3,0.066664709
ACP5,0.066664709
HNRNPUL1,0.066664709
CYBB,0.066664709
IL13RA1,0.066664709
FAM122B,0.066664709
TM2D1,0.069892911
FDPS,0.069892911
SCCPDH,0.069892911
GOLGA4,0.069892911
TLR6,0.069892911
HDAC9,0.069892911
VIM,0.069892911
MTPAP,0.069892911
NT5C2,0.069892911
SPI1,0.069892911
WNK1,0.069892911
HEBP1,0.069892911
PCK2,0.069892911
KCNK6,0.069892911
CBX6,0.069892911
CDK11B,0.073244074
CD58,0.073244074
NCSTN,0.073244074
SPOPL,0.073244074
ANKRD28,0.073244074
STT3B,0.073244074
ZNF445,0.073244074
GNB4,0.073244074
RFC1,0.073244074
FDFT1,0.073244074
PCM1,0.073244074
FCN1,0.073244074
RBM7,0.073244074
RALGAPA1,0.073244074
SECISBP2L,0.073244074
DDX19A,0.073244074
ATXN1L,0.073244074
CCL4,0.073244074
MBD1,0.073244074
TICAM1,0.073244074
LYL1,0.073244074
IER2,0.073244074
RELB,0.073244074
CHMP4B,0.073244074
ARFRP1,0.073244074
SLC2A4RG,0.073244074
PGD,0.076721216
TMEM87B,0.076721216
PSD4,0.076721216
CAPN7,0.076721216
HIGD1A,0.076721216
PHC3,0.076721216
NUP153,0.076721216
CPQ,0.076721216
ATP6V1C1,0.076721216
ATP5MD,0.076721216
SPTY2D1,0.076721216
SUPT20H,0.076721216
ARL11,0.076721216
PIP4P1,0.076721216
MESD,0.076721216
TBC1D10B,0.076721216
ASGR2,0.076721216
COPE,0.076721216
SPECC1L,0.076721216
HMGXB4,0.076721216
IDH3G,0.076721216
AL450998.2,0.080327362
HIST2H2AC,0.080327362
C1orf43,0.080327362
ACBD6,0.080327362
ADAM17,0.080327362
GTF3C2,0.080327362
DHX36,0.080327362
EGR1,0.080327362
SLC35B2,0.080327362
SEC61G,0.080327362
LINC01003,0.080327362
BAG4,0.080327362
RNF139,0.080327362
RPP25L,0.080327362
RNF38,0.080327362
TRIM14,0.080327362
TOR1A,0.080327362
NINJ2,0.080327362
RPS27L,0.080327362
ATXN2L,0.080327362
FBXL20,0.080327362
USE1,0.080327362
NOL9,0.084065478
PIK3CD,0.084065478
PPIE,0.084065478
UQCRH,0.084065478
TMCO1,0.084065478
FAM228B,0.084065478
MTHFD2,0.084065478
NOP58,0.084065478
RBM6,0.084065478
AGA,0.084065478
IK,0.084065478
SNRNP48,0.084065478
TNF,0.084065478
PIM1,0.084065478
PLA2G7,0.084065478
AKAP9,0.084065478
TERF1,0.084065478
SH2D3C,0.084065478
ANKRD49,0.084065478
CEP57,0.084065478
TCP11L2,0.084065478
PSMA3,0.084065478
CCDC144A,0.084065478
P4HB,0.084065478
ACSS2,0.084065478
SELENON,0.087938568
SLC30A7,0.087938568
RAB13,0.087938568
SMG7,0.087938568
IARS2,0.087938568
NLRP3,0.087938568
LAPTM4A,0.087938568
LRPPRC,0.087938568
UBE2D3,0.087938568
SRD5A1,0.087938568
HARS,0.087938568
ZBTB24,0.087938568
SUMF2,0.087938568
CBLL1,0.087938568
LY6E,0.087938568
CNTLN,0.087938568
HNRNPK,0.087938568
BMS1,0.087938568
ADD3,0.087938568
ZDHHC6,0.087938568
LDHA,0.087938568
GOLT1B,0.087938568
SNRPN,0.087938568
CCPG1,0.087938568
PLEKHO2,0.087938568
TSR3,0.087938568
INO80E,0.087938568
CHD9,0.087938568
GABARAP,0.087938568
ADAP2,0.087938568
HEXIM1,0.087938568
ERN1,0.087938568
CTSA,0.087938568
GNAS,0.087938568
XBP1,0.087938568
NCF4,0.087938568
UXT,0.087938568
TFE3,0.087938568
STK26,0.087938568
EFHD2,0.091949627
SRRM1,0.091949627
CZIB,0.091949627
SRSF11,0.091949627
ABHD5,0.091949627
HACD2,0.091949627
MRPL47,0.091949627
F13A1,0.091949627
TMEM14B,0.091949627
YIPF3,0.091949627
LMBRD1,0.091949627
LRCH4,0.091949627
DOK2,0.091949627
ZDHHC24,0.091949627
ANAPC5,0.091949627
MRPL57,0.091949627
DNAJC3,0.091949627
MYO5A,0.091949627
E2F4,0.091949627
NAGLU,0.091949627
PSME3,0.091949627
FAM217B,0.091949627
NAGA,0.091949627
ARSD,0.091949627
TIMM17B,0.091949627
IDS,0.091949627
GASK1B,0.096101573
TRIM27,0.096101573
YWHAG,0.096101573
DENND3,0.096101573
SDHAF2,0.096101573
BSCL2,0.096101573
NDUFV1,0.096101573
OAS2,0.096101573
SNRNP35,0.096101573
MAP4K5,0.096101573
COX16,0.096101573
CXXC1,0.096101573
WDR83OS,0.096101573
BABAM1,0.096101573
SERTAD3,0.096101573
PCIF1,0.096101573
MRPL20,0.100397356
DESI2,0.100397356
CAPG,0.100397356
AGFG1,0.100397356
BAP1,0.100397356
CLTB,0.100397356
LTB,0.100397356
BUD23,0.100397356
ENY2,0.100397356
DDX50,0.100397356
EXOC6,0.100397356
LSP1,0.100397356
PTPMT1,0.100397356
YBX3,0.100397356
NFE2,0.100397356
ARHGAP9,0.100397356
MCRIP2,0.100397356
HMOX2,0.100397356
UBN1,0.100397356
CD2BP2,0.100397356
LSM12,0.100397356
GRB2,0.100397356
MPND,0.100397356
NFAM1,0.100397356
DHRSX,0.100397356
WAS,0.100397356
NDUFS5,0.104839904
YIPF1,0.104839904
NBAS,0.104839904
TMSB10,0.104839904
ZDHHC3,0.104839904
UVSSA,0.104839904
AIMP1,0.104839904
C4orf3,0.104839904
CNOT8,0.104839904
AKIRIN2,0.104839904
ARMT1,0.104839904
C7orf50,0.104839904
STEAP4,0.104839904
UAP1L1,0.104839904
HNRNPH3,0.104839904
WAPL,0.104839904
GLUD1,0.104839904
RIC8A,0.104839904
HNRNPUL2,0.104839904
MRPL48,0.104839904
FOXJ2,0.104839904
BTG1,0.104839904
SELPLG,0.104839904
ALDH2,0.104839904
VPS13C,0.104839904
NTAN1,0.104839904
JPT1,0.104839904
IER3IP1,0.104839904
NCLN,0.104839904
PIN1,0.104839904
CCDC130,0.104839904
FBL,0.104839904
CALM3,0.104839904
CST3,0.104839904
NCOA3,0.104839904
SREBF2-AS1,0.104839904
RBM3,0.104839904
CCNL2,0.109432058
SDHB,0.109432058
WDTC1,0.109432058
KHDRBS1,0.109432058
TMEM35B,0.109432058
TXNIP,0.109432058
PLEKHO1,0.109432058
POU2F1,0.109432058
TSNAX,0.109432058
TMBIM1,0.109432058
RAF1,0.109432058
MAPKAPK3,0.109432058
RBM15B,0.109432058
CNBP,0.109432058
FBXL5,0.109432058
SMIM20,0.109432058
RAPGEF6,0.109432058
HIST1H1C,0.109432058
GPSM3,0.109432058
COX7A2,0.109432058
ZFAND2A,0.109432058
PLAA,0.109432058
TOR4A,0.109432058
KIF5B,0.109432058
SIRT1,0.109432058
CUEDC2,0.109432058
ASRGL1,0.109432058
DNM1L,0.109432058
PSMD9,0.109432058
CSK,0.109432058
PDPK1,0.109432058
PAGR1,0.109432058
ZNF276,0.109432058
RPL23,0.109432058
MYO15B,0.109432058
SMARCA4,0.109432058
CHERP,0.109432058
BST2,0.109432058
PSENEN,0.109432058
COMMD7,0.109432058
GSS,0.109432058
GID8,0.109432058
PIGP,0.109432058
UBE2G2,0.109432058
CERK,0.109432058
BCAP31,0.109432058
USP48,0.114176674
SELENOF,0.114176674
BCAS2,0.114176674
POLR3C,0.114176674
RNPEP,0.114176674
IDH1,0.114176674
TMCC1,0.114176674
TMEM131L,0.114176674
MAN2A1,0.114176674
CSNK1G3,0.114176674
FNIP1,0.114176674
KIAA1191,0.114176674
NSMCE2,0.114176674
ECD,0.114176674
CARS,0.114176674
TMEM138,0.114176674
RNF169,0.114176674
HYOU1,0.114176674
SIN3A,0.114176674
ZFAND6,0.114176674
AP1G1,0.114176674
SLC39A11,0.114176674
GPS1,0.114176674
RALBP1,0.114176674
MBP,0.114176674
PSMD8,0.114176674
SMARCB1,0.114176674
MFNG,0.114176674
NOL12,0.114176674
WDR13,0.114176674
PLP2,0.114176674
ACADM,0.119076569
RABGGTB,0.119076569
STRIP1,0.119076569
CD53,0.119076569
RAB4A,0.119076569
ZBTB18,0.119076569
TRAPPC12,0.119076569
DDX1,0.119076569
PELI1,0.119076569
NAB1,0.119076569
LINC02432,0.119076569
AFF4,0.119076569
CHCHD2,0.119076569
TBXAS1,0.119076569
CUL1,0.119076569
SPTLC1,0.119076569
CNTRL,0.119076569
LINC00963,0.119076569
CUL2,0.119076569
COX8A,0.119076569
FERMT3,0.119076569
TMEM123,0.119076569
LDHB,0.119076569
RAP1B,0.119076569
LIN7A,0.119076569
PSMB6,0.119076569
SLFN5,0.119076569
AP2B1,0.119076569
TBCD,0.119076569
DSC2,0.119076569
PNPLA6,0.119076569
NDUFA13,0.119076569
DBP,0.119076569
TP53INP2,0.119076569
COMT,0.119076569
ATXN10,0.119076569
TMEM69,0.124134462
TXNDC12,0.124134462
SSR2,0.124134462
ACTR2,0.124134462
DUSP2,0.124134462
CYBRD1,0.124134462
ATXN7,0.124134462
NXPE3,0.124134462
CCDC14,0.124134462
ACPP,0.124134462
BDP1,0.124134462
ANXA6,0.124134462
GRK6,0.124134462
DUSP22,0.124134462
IFRD1,0.124134462
KIF13B,0.124134462
ATP6V1H,0.124134462
CALHM2,0.124134462
FAM204A,0.124134462
KMT5B,0.124134462
UVRAG,0.124134462
APLP2,0.124134462
CD163,0.124134462
PSMA6,0.124134462
GALC,0.124134462
CYFIP1,0.124134462
FAM234A,0.124134462
CIITA,0.124134462
KIF22,0.124134462
VPS4A,0.124134462
AC002558.3,0.124134462
DCAF7,0.124134462
OGFOD3,0.124134462
LSM4,0.124134462
FAM98C,0.124134462
EIF6,0.124134462
HMOX1,0.124134462
TSPYL2,0.124134462
YIPF6,0.124134462
VAMP3,0.129353076
HMGN2,0.129353076
PPCS,0.129353076
LRRC8C,0.129353076
LINC00623,0.129353076
GLMP,0.129353076
ADIPOR1,0.129353076
PPP1R15B,0.129353076
AAK1,0.129353076
MIR4435-2HG,0.129353076
NBEAL2,0.129353076
SH3TC1,0.129353076
NAAA,0.129353076
NFKB1,0.129353076
HAVCR2,0.129353076
CCNC,0.129353076
EZR,0.129353076
DNAJC2,0.129353076
AC100810.1,0.129353076
DENND1A,0.129353076
CHID1,0.129353076
STIP1,0.129353076
DCPS,0.129353076
PRKAG1,0.129353076
C12orf76,0.129353076
DNAJC15,0.129353076
MLST8,0.129353076
SMARCE1,0.129353076
C18orf21,0.129353076
MAN2B1,0.129353076
FXYD5,0.129353076
SNRNP70,0.129353076
CNOT3,0.129353076
FASTKD5,0.129353076
XRN2,0.129353076
UCKL1,0.129353076
ADA2,0.129353076
TYMP,0.129353076
SMAP2,0.134735083
LAMTOR5,0.134735083
HSPA6,0.134735083
FEZ2,0.134735083
ARL5A,0.134735083
GIGYF2,0.134735083
SH3BP5,0.134735083
SUCLG2,0.134735083
FYTTD1,0.134735083
FAM13A-AS1,0.134735083
MGST2,0.134735083
ADRB2,0.134735083
GM2A,0.134735083
CLINT1,0.134735083
CNOT6,0.134735083
DEF6,0.134735083
KCTD20,0.134735083
CDC40,0.134735083
TRA2A,0.134735083
GSAP,0.134735083
AC093673.1,0.134735083
STAU2,0.134735083
FAM78A,0.134735083
FBH1,0.134735083
IFIT3,0.134735083
TCF7L2,0.134735083
CTSD,0.134735083
MAP3K11,0.134735083
ACER3,0.134735083
ATM,0.134735083
FDX1,0.134735083
MDM2,0.134735083
PLXNC1,0.134735083
EIF2B1,0.134735083
MDP1,0.134735083
MGRN1,0.134735083
MT2A,0.134735083
RPL27,0.134735083
FOXK2,0.134735083
TGIF1,0.134735083
MRPL54,0.134735083
DEDD2,0.134735083
ADRM1,0.134735083
PPDPF,0.134735083
DNAJC5,0.134735083
TTC3,0.134735083
SDF2L1,0.134735083
COX7B,0.134735083
G6PD,0.134735083
NRDC,0.140283041
PPP1R12B,0.140283041
ATAD2B,0.140283041
PRKD3,0.140283041
DDX18,0.140283041
NR4A2,0.140283041
NKTR,0.140283041
SLMAP,0.140283041
1-Mar,0.140283041
MED10,0.140283041
LMAN2,0.140283041
E2F3,0.140283041
STK38,0.140283041
CD2AP,0.140283041
HDDC2,0.140283041
ANKIB1,0.140283041
SEC61B,0.140283041
SSNA1,0.140283041
PDCD4,0.140283041
TMEM80,0.140283041
EIF3M,0.140283041
PRDX5,0.140283041
ACVR1B,0.140283041
RASA3,0.140283041
NEDD8,0.140283041
STRN3,0.140283041
SCAMP2,0.140283041
C16orf72,0.140283041
TMEM219,0.140283041
PPP4C,0.140283041
FHOD1,0.140283041
MED11,0.140283041
CXCL16,0.140283041
VAMP2,0.140283041
ABCA7,0.140283041
TRIR,0.140283041
JUNB,0.140283041
PLAGL2,0.140283041
CDK5RAP1,0.140283041
IFT52,0.140283041
SLC5A3,0.140283041
SUMO3,0.140283041
ADSL,0.140283041
UPK3A,0.140283041
CCDC22,0.140283041
MECP2,0.140283041
SSBP3,0.145999491
PDE4DIP,0.145999491
SETDB1,0.145999491
SDE2,0.145999491
COX20,0.145999491
ACP1,0.145999491
SF3B6,0.145999491
SESTD1,0.145999491
CLDND1,0.145999491
DLG1,0.145999491
SKP1,0.145999491
C6orf226,0.145999491
DNPH1,0.145999491
NCOA7,0.145999491
ERV3-1,0.145999491
POM121C,0.145999491
ZNHIT1,0.145999491
SMARCA2,0.145999491
ECPAS,0.145999491
CHCHD1,0.145999491
ARFIP2,0.145999491
CTNND1,0.145999491
CCDC88B,0.145999491
C2CD2L,0.145999491
PHB2,0.145999491
CHST11,0.145999491
SRSF9,0.145999491
GTF3A,0.145999491
TRADD,0.145999491
CD300LB,0.145999491
HGS,0.145999491
MCRIP1,0.145999491
KDSR,0.145999491
SNRPB2,0.145999491
IFNAR2,0.145999491
TUG1,0.145999491
DRG1,0.145999491
CTBS,0.15188692
CEPT1,0.15188692
SLC39A1,0.15188692
PRCC,0.15188692
CDC73,0.15188692
GFPT1,0.15188692
POLE4,0.15188692
DOCK10,0.15188692
TTLL3,0.15188692
EXOC1,0.15188692
SEC24D,0.15188692
CLCN3,0.15188692
DHX29,0.15188692
JMY,0.15188692
SSBP2,0.15188692
TGFBI,0.15188692
G3BP1,0.15188692
ADAM19,0.15188692
CCND3,0.15188692
HOTAIRM1,0.15188692
HUS1,0.15188692
SLC25A13,0.15188692
NUB1,0.15188692
PLIN2,0.15188692
DCTN3,0.15188692
PTGS1,0.15188692
CPT1A,0.15188692
CLNS1A,0.15188692
METTL7A,0.15188692
EXOC5,0.15188692
AHSA1,0.15188692
CDC42BPB,0.15188692
PDE8A,0.15188692
SNX29,0.15188692
NPIPB5,0.15188692
LONP2,0.15188692
CMTM3,0.15188692
SLC7A6,0.15188692
SCAMP4,0.15188692
NOP56,0.15188692
KIF3B,0.15188692
SLC35C2,0.15188692
ITGB2-AS1,0.15188692
ZYG11B,0.157947674
SFT2D2,0.157947674
TRAF3IP3,0.157947674
GPATCH2,0.157947674
CPSF3,0.157947674
GPBAR1,0.157947674
RYBP,0.157947674
ANAPC13,0.157947674
NLN,0.157947674
ATP6V1F,0.157947674
ANP32B,0.157947674
PPP3CB,0.157947674
ARNTL,0.157947674
PITPNM1,0.157947674
ARAP1,0.157947674
CARD16,0.157947674
SETD3,0.157947674
